Program name	H2196AB_E4_A01_CP1.dll
Lot number	C141321.02-CPTSTE12-250213-200241@CP
Wafer number	19
Date	2025/02/13
Time	20:07:31

No.U	X	Y	Bin	CONT@D	CONT@G	CONT@S	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2
LimitU				0.5V	0.5V	0.5V	100nA	100nA	900V	900V	50V	5uA	5V	38mohm	1V	60nA	60nA
LimitL				-0.5V	-0.5V	-0.5V	0nA	0nA	660V	660V	-10V	0uA	3.5V	10mohm	0V	0nA	0nA
Bias 1				 	 	 	 	 	250uA	1mA	 	 	3mA	1A	 	 	 
Bias 2				 	 	 	 	 	 	 	 	 	 	 	1A	 	 
Bias 3				2V	 	 	 	 	 	 	 	653V	 	 	 	 	 
Bias 4				 	2V	 	30V	-30V	 	 	 	 	 	10V	0V	20V	-20V
Bias 5				1000uS	8000uS	8000uS	12000uS	12000uS	10000uS	8000uS	1000uS	10000uS	2000uS	50000uS	5000uS	12000uS	12000uS
Bias 6				 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	29	6	5	1.31000E-002	1.10000E-002	7.20000E-003	6.53300E-010	2.74900E-009	6.22489E+002
8	27	6	1	1.35000E-002	1.12000E-002	7.40000E-003	3.62900E-010	2.67410E-009	7.11819E+002	7.17749E+002	5.93080E+000	1.25410E-006	4.16010E+000	3.35409E-002	6.32800E-001	2.98300E-010	2.63400E-010
12	25	6	1	1.35000E-002	1.11000E-002	7.50000E-003	7.09500E-010	2.20580E-009	7.16573E+002	7.25600E+002	9.02740E+000	1.23990E-006	4.14140E+000	3.37126E-002	6.31900E-001	9.93000E-011	6.79100E-010
16	23	6	1	1.35000E-002	1.12000E-002	7.40000E-003	8.43000E-010	3.10020E-009	7.22934E+002	7.30164E+002	7.22970E+000	1.16290E-006	4.15720E+000	3.37382E-002	6.32100E-001	1.64600E-010	4.31000E-011
20	21	6	1	1.35000E-002	1.12000E-002	7.40000E-003	7.16500E-010	2.92930E-009	7.27075E+002	7.33295E+002	6.22010E+000	1.10950E-006	4.17000E+000	3.36700E-002	6.32200E-001	2.65100E-010	1.98600E-010
24	19	6	1	1.35000E-002	1.11000E-002	7.40000E-003	5.26900E-010	3.08150E-009	7.24074E+002	7.32620E+002	8.54570E+000	1.12550E-006	4.17320E+000	3.36023E-002	6.32300E-001	1.22500E-010	4.54000E-011
28	17	6	1	1.36000E-002	1.11000E-002	7.40000E-003	1.04200E-009	2.95970E-009	7.18734E+002	7.24824E+002	6.09030E+000	1.14580E-006	4.18430E+000	3.35638E-002	6.33100E-001	5.18400E-010	4.93600E-010
32	15	6	8	1.35000E-002	1.11000E-002	7.40000E-003	8.33600E-010	2.74900E-009	6.72313E+002	6.85680E+002	1.33666E+001	1.38246E-005
40	11	8	1	1.35000E-002	1.12000E-002	7.40000E-003	5.78400E-010	2.69280E-009	7.19662E+002	7.24867E+002	5.20570E+000	1.10100E-006	4.17880E+000	3.37367E-002	6.33100E-001	5.12600E-010	6.13700E-010
44	13	8	1	1.35000E-002	1.11000E-002	7.40000E-003	2.90400E-010	3.69500E-009	7.39956E+002	7.44080E+002	4.12390E+000	9.34600E-007	4.19280E+000	3.34695E-002	6.32700E-001	3.64800E-010	2.01100E-010
48	15	8	1	1.36000E-002	1.12000E-002	7.50000E-003	1.22700E-009	2.94340E-009	7.42642E+002	7.47288E+002	4.64670E+000	8.83500E-007	4.17660E+000	3.35323E-002	6.32900E-001	1.52000E-010	5.76000E-011
52	17	8	1	1.35000E-002	1.12000E-002	7.40000E-003	4.02800E-010	2.93160E-009	7.35274E+002	7.42723E+002	7.44830E+000	1.00940E-006	4.19200E+000	3.41809E-002	6.32400E-001	4.03900E-010	9.65000E-011
56	19	8	1	1.35000E-002	1.12000E-002	7.40000E-003	6.60300E-010	2.25490E-009	7.19787E+002	7.31982E+002	1.21948E+001	1.19940E-006	4.15290E+000	3.44396E-002	6.32400E-001	1.04700E-010	2.12600E-010
60	21	8	1	1.35000E-002	1.11000E-002	7.40000E-003	1.27380E-009	2.72090E-009	7.19192E+002	7.29742E+002	1.05506E+001	1.16740E-006	4.12920E+000	3.43332E-002	6.33100E-001	7.17500E-010	1.37200E-010
64	23	8	1	1.35000E-002	1.12000E-002	7.40000E-003	4.35500E-010	3.06040E-009	7.13510E+002	7.26026E+002	1.25165E+001	1.24890E-006	4.15450E+000	3.43606E-002	6.32900E-001	9.06400E-010	2.90000E-011
