Program name	ME58Y81_G0GC2AD.jtf
Lot number	FA53-5465-305A-250303@203
Wafer number	17
Date	2025/03/03
Time	02:21:10

No.U	X	Y	Bin	CONT	IGSS0	IGSS1	IGSSR1	BVDSS1	BVDSS2	DELTABV	IDSS1	VTH	RDSON1	VFSDS	IGSS2	IGSSR2	IDSS2
LimitU				0.500V	99.00uA	4.000uA	4.000uA	900.0V	900.0V	50.00-	250.0nA	4.000V	365.0mOHM	1.000V	300.0nA	300.0nA	200.0nA	
LimitL				0V	0A	0A	0A	660.0V	660.0V	10.00-	0A	3.000V	100.0mOHM	0.000V	0A	0A	0A	
Bias 1				1.00mA	1.00V	30.0V	30.0V	250uA	1.00mA	@008-	653V	250uA	1.00A	1.00A	20.0V	20.0V	600V
Bias 2										@007-			10.0V
Bias 3								999V	999V
Bias 4				2.50ms	40.0ms	40.0ms	40.0ms	20.0ms	10.0ms		20.0ms	2.50ms	1.00ms	2.00ms	40.0ms	40.0ms	20.0ms	
Bias 5				
Bias 6				
1	41	5	1	0.000E+00	0.000E+00	4.610E-07	5.630E-07	7.315E+02	7.428E+02	1.130E+01	9.700E-09	3.474E+00	3.084E-01	7.670E-01	8.050E-08	7.530E-08	3.600E-09	
2	47	5	1	0.000E+00	0.000E+00	4.680E-07	5.370E-07	7.079E+02	7.352E+02	2.730E+01	8.800E-09	3.420E+00	3.099E-01	7.650E-01	8.400E-08	7.150E-08	3.300E-09	
3	53	5	1	0.000E+00	0.000E+00	6.750E-07	5.320E-07	7.392E+02	7.483E+02	9.100E+00	1.310E-08	3.289E+00	3.106E-01	7.610E-01	1.177E-07	7.000E-08	5.500E-09	
4	47	7	1	0.000E+00	0.000E+00	4.300E-07	5.780E-07	7.621E+02	7.688E+02	6.700E+00	6.800E-09	3.342E+00	3.130E-01	7.640E-01	7.720E-08	6.860E-08	2.600E-09	
5	47	9	1	0.000E+00	0.000E+00	4.430E-07	5.310E-07	7.642E+02	7.695E+02	5.300E+00	6.800E-09	3.311E+00	3.129E-01	7.630E-01	7.600E-08	6.840E-08	2.800E-09	
6	23	11	1	0.000E+00	0.000E+00	4.640E-07	6.540E-07	7.573E+02	7.629E+02	5.600E+00	6.800E-09	3.474E+00	3.119E-01	7.640E-01	8.330E-08	7.800E-08	2.500E-09	
7	29	11	1	0.000E+00	0.000E+00	4.450E-07	7.420E-07	7.747E+02	7.766E+02	1.900E+00	7.000E-09	3.392E+00	3.098E-01	7.640E-01	7.890E-08	1.014E-07	2.800E-09	
8	35	11	1	0.000E+00	1.000E-08	4.570E-07	5.320E-07	7.700E+02	7.726E+02	2.600E+00	7.000E-09	3.368E+00	3.107E-01	7.640E-01	7.730E-08	6.570E-08	2.900E-09	
9	41	11	1	0.000E+00	0.000E+00	4.430E-07	6.070E-07	7.634E+02	7.685E+02	5.100E+00	6.800E-09	3.340E+00	3.116E-01	7.630E-01	7.740E-08	7.250E-08	2.700E-09	
10	47	11	1	0.000E+00	0.000E+00	4.640E-07	8.520E-07	7.588E+02	7.643E+02	5.500E+00	6.800E-09	3.323E+00	3.124E-01	7.640E-01	8.010E-08	1.101E-07	2.300E-09	
