PRODUCT,HHGRACE_PRODUCT,FAB1_LOTID,FAB2_LOTID,WAFER_ID,MEASURE_TIME,GOOD_DIE,YIELD(%)
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,01,2025-03-03 00:05:16,165,97.63,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,02,2025-03-03 00:13:12,167,98.82,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,03,2025-03-03 00:21:11,168,99.41,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,04,2025-03-03 00:29:11,166,98.22,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,05,2025-03-03 00:37:07,169,100,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,06,2025-03-03 00:45:07,167,98.82,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,07,2025-03-03 00:54:13,169,100,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,08,2025-03-03 01:02:26,167,98.82,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,09,2025-03-03 01:10:23,168,99.41,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,10,2025-03-03 01:18:24,167,98.82,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,11,2025-03-03 01:26:22,167,98.82,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,12,2025-03-03 01:34:21,166,98.22,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,13,2025-03-03 01:42:57,169,100,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,14,2025-03-03 01:50:58,167,98.82,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,15,2025-03-03 01:59:08,169,100,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,16,2025-03-03 02:07:10,167,98.82,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,17,2025-03-03 02:15:11,169,100,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,18,2025-03-03 02:23:12,164,97.04,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,19,2025-03-03 02:31:51,165,97.63,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,20,2025-03-03 02:39:47,167,98.82,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,21,2025-03-03 02:47:45,168,99.41,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,22,2025-03-03 02:56:17,168,99.41,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,23,2025-03-03 03:04:17,168,99.41,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,24,2025-03-03 03:12:15,167,98.82,
NCESF650SAA,D2JY-ME58G0GC2AEC6N,FA53-5465,FD517897.1,25,2025-03-03 03:20:54,168,99.41,
